source,title,authors,institution,text,ref
"Section of Biochemistry, Molecular and Cell Biology, Cornell University, Ithaca, New York 14853-2703, USA.","The MCM proteins are essential replication initiation factors originally identified as proteins required for minichromosome maintenance in Saccharomyces cerevisiae. The best known among them are a family of six structurally related proteins, MCM2-7, which are evolutionally conserved in all eukaryotes. The MCM2-7 proteins form a hexameric complex. This complex is a key component of the prereplication complex that assembles at replication origins during early G1 phase. New evidence suggests that the MCM2-7 proteins may be involved not only in the initiation but also in the elongation of DNA replication. Orchestration of the functional interactions between the MCM2-7 proteins and other components of the prereplication complex by cell cycle-dependent protein kinases results in initiation of DNA synthesis once every cell cycle.","Publication Types: Review Review, Academic",PMID: 10872463 [PubMed - indexed for MEDLINE],,
"Kuchin S, Treich I, Carlson M.","Department of Genetics and Development and Department of Microbiology, Columbia University, New York, NY 10032, USA.","RNA polymerase II holoenzymes respond to activators and repressors that are regulated by signaling pathways. Here we present evidence for a ""shortcut"" mechanism in which the Snf1 protein kinase of the glucose signaling pathway directly regulates transcription by the yeast holoenzyme. In response to glucose limitation, the Snf1 kinase stimulates transcription by holoenzyme that has been artificially recruited to a reporter by a LexA fusion to a holoenzyme component. We show that Snf1 interacts physically with the Srb/mediator proteins of the holoenzyme in both two-hybrid and coimmunoprecipitation assays. We also show that a catalytically hyperactive Snf1, when bound to a promoter as a LexA fusion protein, activates transcription in a glucose-regulated manner; moreover, this activation depends on the integrity of the Srb/mediator complex. These results suggest that direct regulatory interactions between signal transduction pathways and RNA polymerase II holoenzyme provide a mechanism for transcriptional control in response to important signals.",PMID: 10869433 [PubMed - indexed for MEDLINE],,
"Dosil M, Schandel KA, Gupta E, Jenness DD, Konopka JB.","Department of Molecular Genetics and Microbiology, State University of New York, Stony Brook, New York 11794-5222, USA.","Binding of the alpha-factor pheromone to its G-protein-coupled receptor (encoded by STE2) activates the mating pathway in MATa yeast cells. To investigate whether specific interactions between the receptor and the G protein occur prior to ligand binding, we analyzed dominant-negative mutant receptors that compete with wild-type receptors for G proteins, and we analyzed the ability of receptors to suppress the constitutive signaling activity of mutant Galpha subunits in an alpha-factor-independent manner. Although the amino acid substitution L236H in the third intracellular loop of the receptor impairs G-protein activation, this substitution had no influence on the ability of the dominant-negative receptors to sequester G proteins or on the ability of receptors to suppress the GPA1-A345T mutant Galpha subunit. In contrast, removal of the cytoplasmic C-terminal domain of the receptor eliminated both of these activities even though the C-terminal domain is unnecessary for G-protein activation. Moreover, the alpha-factor-independent signaling activity of ste2-P258L mutant receptors was inhibited by the coexpression of wild-type receptors but not by coexpression of truncated receptors lacking the C-terminal domain. Deletion analysis suggested that the distal half of the C-terminal domain is critical for sequestration of G proteins. The C-terminal domain was also found to influence the affinity of the receptor for alpha-factor in cells lacking G proteins. These results suggest that the C-terminal cytoplasmic domain of the alpha-factor receptor, in addition to its role in receptor downregulation, promotes the formation of receptor-G-protein preactivation complexes.",PMID: 10866688 [PubMed - indexed for MEDLINE],,
"Lemaire M, Collart MA.","Departement de Biochimie Medicale, Centre Medical Universitaire, 1 rue Michel Servet, 1211 Geneva 4, Switzerland.","The Saccharomyces cerevisiae HIS3 gene is a model system to characterize transcription initiation from different types of core promoters. The NOT genes were identified by mutations that preferentially increased transcription of the HIS3 promoter lacking a canonical TATA sequence. They encode proteins associated in a complex that also contains the Caf1 and Ccr4 proteins. It has been suggested that the Ccr4-Not complex represses transcription by inhibiting factors more specifically required for promoters lacking a TATA sequence. A potential target is the yTaf(II)19 subunit of TFIID, which, when depleted, leads to a preferential decrease of HIS3 TATA-less transcription. We isolated conditional taf19 alleles that display synthetic growth phenotypes when combined with not4 or specific not5 alleles. Inactivation of yTaf(II)19p by shifting these mutants to the restrictive temperature led to a more rapid and striking decrease in transcription from promoters that do not contain a canonical TATA sequence. We demonstrated by the two-hybrid assay and directly in vitro that yTaf(II)19p and Not5p could interact. Finally, we found by the two-hybrid assay that yTaf(II)19p also interacted with many components of the Ccr4-Not complex. Taken together, our results provide evidence that interactions between Not5p and yTaf(II)19p may be involved in transcriptional regulation by the Ccr4-Not complex.",PMID: 10864925 [PubMed - indexed for MEDLINE],,
"Morgan CJ, Wilkins DK, Smith LJ, Kawata Y, Dobson CM.","Oxford Centre for Molecular Sciences, New Chemistry Laboratory, University of Oxford, South Parks Road, Oxford, OX1 3QT, UK.","The denaturation of triose phosphate isomerase (TIM) from Saccharomyces cerevisiae by guanidine hydrochlorids at pH 7.2 has been monitored by NMR spectroscopy in conjunction with optical spectroscopy. In the absence of denaturant, the hydrodynamic radius of 29.6(+/-0.25) A and the substantial chemical shift dispersion evident in the NMR spectrum are consistent with the highly structured dimeric native state of the protein. On the addition of 2. 2 M guanidine hydrochloride the effective hydrodynamic radius increases to 51.4(+/-0.43) A, consistent with that anticipated for the polypeptide chain in a highly unstructured random coil state. In 1.1 M guanidine hydrochloride, however, the effective hydrodynamic radius is 24.0(+/-0.25) A, a value substantially decreased relative to that of the native dimeric state but very close to that anticipated for a monomeric species with native-like compaction (23. 5 A). The lack of chemical shift dispersion indicates, however, that few tertiary interactions persist within this species. Far UV CD and intrinsic fluorescence measurements show that this compact intermediate retains significant secondary structure and that on average the fluorophores are partially excluded from solvent. Such a species could be important in the formation of dimeric TIM from its unfolded state. Copyright 2000 Academic Press.",PMID: 10864494 [PubMed - indexed for MEDLINE],,
"Hallows KR, Raghuram V, Kemp BE, Witters LA, Foskett JK.","Renal-Electrolyte and Hypertension Division, Department of Medicine, University of Pennsylvania School of Medicine, Philadelphia, Pennsylvania, USA.","The cystic fibrosis transmembrane conductance regulator (CFTR) is an ATP-gated Cl(-) channel that regulates other epithelial transport proteins by uncharacterized mechanisms. We employed a yeast two-hybrid screen using the COOH-terminal 70 residues of CFTR to identify proteins that might be involved in such interactions. The alpha1 (catalytic) subunit of AMP-activated protein kinase (AMPK) was identified as a dominant and novel interacting protein. The interaction is mediated by residues 1420-1457 in CFTR and by the COOH-terminal regulatory domain of alpha1-AMPK. Mutations of two protein trafficking motifs within the 38-amino acid region in CFTR each disrupted the interaction. GST-fusion protein pull-down assays in vitro and in transfected cells confirmed the CFTR-alpha1-AMPK interaction and also identified alpha2-AMPK as an interactor with CFTR. AMPK is coexpressed in CFTR-expressing cell lines and shares an apical distribution with CFTR in rat nasal epithelium. AMPK phosphorylated full-length CFTR in vitro, and AMPK coexpression with CFTR in XENOPUS: oocytes inhibited cAMP-activated CFTR whole-cell Cl(-) conductance by approximately 35-50%. Because AMPK is a metabolic sensor in cells and responds to changes in cellular ATP, regulation of CFTR by AMPK may be important in inhibiting CFTR under conditions of metabolic stress, thereby linking transepithelial transport to cell metabolic state.",PMID: 10862786 [PubMed - indexed for MEDLINE],,
"Profant DA, Roberts CJ, Wright RL.","Department of Zoology, Box 351800, University of Washington, Seattle, WA 98195, USA.","In response to elevated levels of HMG-CoA reductase, an integral endoplasmic reticulum (ER) membrane protein, cells assemble novel ER arrays. These membranes provide useful models for exploration of ER structure and function, as well as general features of membrane biogenesis and turnover. Yeast express two functional HMG-CoA reductase isozymes, Hmg1p and Hmg2p, each of which induces morphologically different ER arrays. Hmg1p induces stacks of paired nuclear-associated membranes called karmellae. In contrast, Hmg2p induces peripheral ER membrane arrays and short nuclear-associated membrane stacks. In spite of their ability to induce different cellular responses, both Hmg1p and Hmg2p have similar structures, including a polytopic membrane domain containing eight predicted transmembrane helices. By examining a series of recombinant HMG-CoA reductase proteins, our laboratory previously demonstrated that the last ER-lumenal loop (Loop G) of the Hmg1p membrane domain contains a signal needed for proper karmellae assembly. Our goal was to examine the primary sequence requirements within Loop G that were critical for proper function of this signal. To this end, we randomly mutagenized the Loop G sequence, expressed the mutagenized Hmg1p in yeast, and screened for inability to generate karmellae at wild-type levels. Out of approximately 4000 strains with Loop G mutations, we isolated 57 that were unable to induce wild-type levels of karmellae assembly. Twenty-nine of these mutants contained one or more point mutations in the Loop G sequence, including nine single point mutants, four of which had severe defects in karmellae assembly. Comparison of these mutations to single point mutations that did not affect karmellae assembly did not reveal obvious patterns of sequence requirements. For example, both conservative and non-conservative changes were present in both groups and changes that altered the total charge of the Loop G region were observed in both groups. Our hypothesis is that Loop G serves as a karmellae-inducing signal by mediating protein-protein or protein-lipid interactions and that amino acids revealed by this analysis may be important for maintaining the proper secondary structure needed for these interactions. Copyright 2000 John Wiley & Sons, Ltd.",PMID: 10861905 [PubMed - indexed for MEDLINE],,
"Sprague ER, Redd MJ, Johnson AD, Wolberger C.","Department of Biophysics and Biophysical Chemistry and Howard Hughes Medical Institute, Johns Hopkins University School of Medicine, Baltimore, MD 21205, USA.","The Tup1-Ssn6 corepressor complex regulates the expression of several sets of genes, including genes that specify mating type in the yeast Saccharomyces cerevisiae. Repression of mating-type genes occurs when Tup1-Ssn6 is brought to the DNA by the Matalpha2 DNA-binding protein and assembled upstream of a- and haploid-specific genes. We have determined the 2.3 A X-ray crystal structure of the C-terminal domain of Tup1 (accesion No. 1ERJ), a 43 kDa fragment that contains seven copies of the WD40 sequence motif and binds to the Matalpha2 protein. Moreover, this portion of the protein can partially substitute for full-length Tup1 in bringing about transcriptional repression. The structure reveals a seven-bladed beta propeller with an N-terminal subdomain that is anchored to the side of the propeller and extends the beta sheet of one of the blades. Point mutations in Tup1 that specifically affect the Tup1-Matalpha2 interaction cluster on one surface of the propeller. We identified regions of Tup1 that are conserved among the fungal Tup1 homologs and may be important in protein-protein interactions with additional components of the Tup1-mediated repression pathways.",PMID: 10856245 [PubMed - indexed for MEDLINE],,
"Schmuckli-Maurer J, Heyer WD.","Institute of General Microbiology, University of Bern, Switzerland.","The Rad54 protein is an important component of the recombinational DNA repair pathway in vegetative Saccharomyces cerevisiae cells. Unlike those in other members of the RAD52 group, the meiotic defect in rad54 is rather mild, reducing spore viability only to 26%-65%. A consistently greater requirement for Rad54p during meiosis was observed in hybrid strains, suggesting that Rad54p has a certain role in interhomolog interactions. Such a role is probably minor as no recombination defects were found in the surviving gametes in three genetic intervals on chromosome V. Also, the spore viability pattern in tetrads did not reflect an increase in nondisjunction at meiosis I indicative of a meiotic recombination defect. We suggest that the meiotic defect of rad54 cells lies in the failure to repair meiosis-specific double-strand breaks outside the context of the highly differentiated pathway leading to interhomolog joint molecules and meiotic crossovers that ensure accurate segregation at meiosis I.",PMID: 10855498 [PubMed - indexed for MEDLINE],,
"Fashena SJ, Serebriiskii I, Golemis EA.","Division of Basic Science, Fox Chase Cancer Center, Philadelphia, PA 19111, USA.","The original two-hybrid system, an experimental approach designed to detect protein interactions, exploited the modular nature of many transcription factors. It has provided the intellectual and technical seed for the evolution of an array of innovative approaches, the application of which broadens the scope of experimentally feasible questions to include the interaction of proteins with diverse binding partners. The available array of modified and alternative approaches facilitates the analysis of complex cellular machinery and signaling networks that rely on multiple protein interactions. Such advances have facilitated the functional analysis of proteins on the genome level, a feat considered untenable a decade ago.","Publication Types: Review Review, Tutorial",PMID: 10854774 [PubMed - indexed for MEDLINE],
Systematic and large-scale two-hybrid screens.,"Uetz P, Hughes RE.","Department of Genetics, University of Washington, Box 357360, Seattle, WA 98195-7360, USA. uetz@u.washington.edu","The increasing rate at which complete genome sequences become available necessitates rapid and robust methods for investigating the functions of their encoded proteins. Efforts have been made to study protein function by systematically screening large sets of proteins using the two-hybrid method. Analyses of the complete proteomes of baceriophage T7, the mammalian viruses hepatitis C and vaccinia, as well as of several protein complexes including RNA splicing proteins and RNA polymerase III from yeast, have been undertaken. Saccharomyces cerevisiae has been studied extensively by two-hybrid methods, with more than 2500 protein-protein interactions described. Systematic studies on metazoan proteomes are, however, still in their infancy.","Publication Types: Review Review, Tutorial",PMID: 10851163 [PubMed - indexed for MEDLINE]
453: Plant Cell Physiol  2000 Apr;41(4):523-33 ,Modulation of 14-3-3 protein interactions with target polypeptides by physical and metabolic effectors.,"Athwal GS, Lombardo CR, Huber JL, Masters SC, Fu H, Huber SC.","US Department of Agriculture, Department of Horticultural Science, North Carolina State University, Raleigh 27695, USA.","The proteins commonly referred to as 14-3-3s have recently come to prominence in the study of protein:protein interactions, having been shown to act as allosteric or steric regulators and possibly scaffolds. The binding of 14-3-3 proteins to the regulatory phosphorylation site of nitrate reductase (NR) was studied in real-time by surface plasmon resonance, using primarily an immobilized synthetic phosphopeptide based on spinach NR-Ser543. Both plant and yeast 14-3-3 proteins were shown to bind the immobilized peptide ligand in a Mg2+-stimulated manner. Stimulation resulted from a reduction in KD and an increase in steady-state binding level (Req). As shown previously for plant 14-3-3s, fluorescent probes also indicated that yeast BMH2 interacted directly with cations, which bind and affect surface hydrophobicity. Binding of 14-3-3s to the phosphopeptide ligand occurred in the absence of divalent cations when the pH was reduced below neutral, and the basis for enhanced binding was a reduction in K(D). At pH 7.5 (+Mg2+), AMP inhibited binding of plant 14-3-3s to the NR based peptide ligand. The binding of AMP to 14-3-3s was directly demonstrated by equilibrium dialysis (plant), and from the observation that recombinant plant 14-3-3s have a low, but detectable, AMP phosphatase activity.",PMID: 10845467 [PubMed - indexed for MEDLINE]
454: Mol Cells  2000 Apr 30;10(2):232-5 ,Random changes of amino acid residues with expected frequency by saturated point mutagenesis.,"Kim SJ, Park H, Kim JK, Lee JY, Ahn K, Choe M, Choi YJ, Kim J.","Graduate School of Biotechnology, Korea University, Seoul.","The yeast transcriptional activator protein, Gcn4p from Saccharomyces cerevisiae binds to the specific sequence in the promoters of many amino acid biosynthetic genes for general control. A new random saturation mutagenesis method was developed to isolate Gcn4p derivatives with only one or two mutations in the DNA binding domain without using radioactive isotope. This will be used to identify the amino acids of Gcn4p involved in protein-protein interactions. Saturation mutagenesis in the DNA binding domain of Gcn4p was performed using spiked degenerate oligonucleotides containing randomized codon bases designed specifically for only one or two base changes in the mutagenized area. These oligonucleotides were synthesized to have two flanking restriction enzyme sites for cloning to the appropriate vector. The 3' ends were mutually primed after hybridization via the palindromic sequences of the restriction enzyme sites. These molecules were then converted to double stranded DNA upon treatment with DNA polymerase. Here, a library collection of 100,680 in an altered Gcn4p pool was generated by cloning a mixed-base oligonucleotide in the place of the sequence coding for the DNA binding domains. The quality of the library was examined by DNA sequencing and found to be in good agreement with the expected statistical values. Calculated mutation frequency was 66% of mutant nucleotide rate and actual sequencing data revealed 68% mutant nucleotide rates from the sequenced library. Thus, among 21 mutants, 16 had one point mutations and 5 had two point mutations. This approach appears to be an effective and general tool for creating proteins with one or two amino acid change(s) in their molecules.",PMID: 10850667 [PubMed - indexed for MEDLINE]
455: Mol Cell Biol  2000 Jul;20(13):4838-48 ,Bypass of a meiotic checkpoint by overproduction of meiotic chromosomal proteins.,"Bailis JM, Smith AV, Roeder GS.","Department of Molecular, Cellular, and Developmental Biology, Yale University, New Haven, CT 06520-8103, USA.","The Saccharomyces cerevisiae zip1 mutant, which exhibits defects in synaptonemal complex formation and meiotic recombination, triggers a checkpoint that causes cells to arrest at the pachytene stage of meiotic prophase. Overproduction of either the meiotic chromosomal protein Red1 or the meiotic kinase Mek1 bypasses this checkpoint, allowing zip1 cells to sporulate. Red1 or Mek1 overproduction also promotes sporulation of other mutants (zip2, dmc1, hop2) that undergo checkpoint-mediated arrest at pachytene. In addition, Red1 overproduction antagonizes interhomolog interactions in the zip1 mutant, substantially decreasing double-strand break formation, meiotic recombination, and homologous chromosome pairing. Mek1 overproduction, in contrast, suppresses checkpoint-induced arrest without significantly decreasing meiotic recombination. Cooverproduction of Red1 and Mek1 fails to bypass the checkpoint; moreover, overproduction of the meiotic chromosomal protein Hop1 blocks the Red1 and Mek1 overproduction phenotypes. These results suggest that meiotic chromosomal proteins function in the signaling of meiotic prophase defects and that the correct stoichiometry of Red1, Mek1, and Hop1 is needed to achieve checkpoint-mediated cell cycle arrest at pachytene.",PMID: 10848609 [PubMed - indexed for MEDLINE]
456: Mol Cell Biol  2000 Jul;20(13):4806-13 ,Identification of amino acid residues in the Caenorhabditis elegans POU protein UNC-86 that mediate UNC-86-MEC-3-DNA ternary complex formation.,"Rockelein I, Rohrig S, Donhauser R, Eimer S, Baumeister R.","Genzentrum, Ludwig-Maximilians-Universitat, D-81377 Munich, Germany.","The POU homeodomain protein UNC-86 and the LIM homeodomain protein MEC-3 are essential for the differentiation of the six mechanoreceptor neurons in the nematode Caenorhabditis elegans. Previous studies have indicated that UNC-86 and MEC-3 bind cooperatively to at least three sites in the mec-3 promoter and synergistically activate transcription. However, the molecular details of the interactions of UNC-86 with MEC-3 and DNA have not been investigated so far. Here we used a yeast system to identify the functional domains in UNC-86 required for transcriptional activation and to characterize the interaction of UNC-86 with MEC-3 in vivo. Our results suggest that transcriptional activation is mediated by the amino terminus of UNC-86, whereas amino acids in the POU domain mediate DNA binding and interaction with MEC-3. By random mutagenesis, we identified mutations that only affect the DNA binding properties of UNC-86, as well as mutations that prevent coactivation by MEC-3. We demonstrated that both the POU-specific domain and the homeodomain of UNC-86, as well as DNA bases adjacent to the proposed UNC-86 binding site, are involved in the formation of a transcriptionally active complex with MEC-3. These data suggest that some residues involved in the contact of UNC-86 with MEC-3 also contribute to the interaction of the functionally nonrelated POU protein Oct-1 with Oca-B, whereas other positions have different roles.",PMID: 10848606 [PubMed - indexed for MEDLINE]
457: Mol Endocrinol  2000 Jun;14(6):889-99 ,Characterization of transactivational property and coactivator mediation of rat mineralocorticoid receptor activation function-1 (AF-1).,"Fuse H, Kitagawa H, Kato S.","Pharmacological Research Department, Teikoku Hormone Manufacturing Company, Ltd., Tokyo, Japan.","The autonomous activation function-2 (AF-2) in the mineralocorticoid receptor (MR) E/F domain is known to play a major role in the ligand-induced transactivation function of MR; however, it remained unclear about the transactivation function of its A/B domain. We therefore tried to characterize the MR A/B domain as the AF-1 and further studied the actions of known coactivators for AF-2 in the E/F ligand-binding domain in the function of the MR A/B domain. Deletion analyses of rat and human MRs revealed that the A/B domains harbor a transactivation function acting as AF-1. The MR mutant (E959Q) with a point mutation in helix 12, which causes a complete loss of MR AF-2 activity, still retained ligand-induced transactivation function, indicating a significant role for AF-1 in the full activity of the ligand-induced MR function. Among the coactivators tested to potentiate the MR AF-2, TIF2 and p300 potentiated the MR AF-1 through two different core regions [amino acids (a.a.) 1-169, a.a. 451-603] and exhibited functional interactions with the MR A/B domain in the cultured cells. However, such interactions were undetectable in a yeast and in an in vitro glutathione-S-transferase pull-down assay, indicating that the functional interaction of TIF2 and p300 with the MR A/B domain to support the MR AF-1 activity require some unknown nuclear factor(s) or a proper modification of the A/B domain in the cells.",PMID: 10847590 [PubMed - indexed for MEDLINE]
458: J Cell Biochem  2000 May;78(2):179-85 ,Recruitment of chromatin remodeling machines.,"Peterson CL, Logie C.","Program in Molecular Medicine and Department of Biochemistry and Molecular Biology, University of Massachusetts Medical School, Worcester, Massachusetts 01605, USA. craig.peterson@umassmed.edu","The assembly of eukaryotic DNA into folded nucleosomal arrays has drastic consequences for many nuclear processes that require access to the DNA sequence, including RNA transcription, DNA replication, recombination, and repair. Two types of highly conserved chromatin remodeling enzymes have been implicated as regulators of the repressive nature of chromatin structure: ATP-dependent remodeling complexes and nuclear histone acetyltransferases (HATs). Recent studies indicate that both types of enzymes can be recruited to chromosomal loci through either physical interactions with transcriptional activators or via the global accessibility of chromatin during S phase of the cell cycle. Here we review these recent observations and discuss the implications for gene-specific regulation by chromatin remodeling machines. Copyright 2000 Wiley-Liss, Inc.","Publication Types: Review Review, Tutorial"
,459: Bioessays  2000 Jun;22(6):503-6 ,Building a protein interaction map: research in the post-genome era.,"Chen Z, Han M.","Howard Hughes Medical Institute, University of Colorado at Boulder, Boulder, Colorado.","With the extensive amount of information generated by genome-wide sequencing, the entire set of gene products in an organism can now be predicted. The challenge of understanding the function of each gene in the genome has led to the development of many large-scale and high-throughput experimental techniques. Recently, two papers, Walhout et al.(1) and Uetz et al.,(2) have described studies that add a new functional dimension to research conducted on a genome-wide scale. These two groups have utilized the yeast two-hybrid system to identify interactions among the entire complement of proteins encoded by the Caenorhabditis elegans and the Saccharomyces cerevisiae genomes, respectively. Using a set of 29 genes that have been previously characterized, Walhout et al. demonstrated the feasibility and efficiency of this technique by building an interaction matrix among a large number of proteins. On an even larger scale, Uetz et al. conducted two-hybrid analyses using proteins that represent over 87% of the total gene products in yeast and identified interactions for about 15% of the total yeast proteins. BioEssays 22:503-506, 2000. Copyright 2000 John Wiley & Sons, Inc."
,,460: J Biol Chem  2000 Sep 22;275(38):29368-76 ,Rap1p-binding sites in the saccharomyces cerevisiae GPD1 promoter are involved in its response to NaCl.,"Eriksson P, Alipour H, Adler L, Blomberg A.","Department of Cell and Molecular Biology-Microbiology, Lundberg Laboratory, Goteborg University, Medicinaregatan 9C, S-413 90 Goteborg, Sweden."
,,461: Biochemistry  2000 Jun 13;39(23):6910-7 ,Prenyl-flavonoids as potent inhibitors of the Pdr5p multidrug ABC transporter from Saccharomyces cerevisiae.,"Conseil G, Decottignies A, Jault JM, Comte G, Barron D, Goffeau A, Di Pietro A.","Laboratoire de Biochimie Structurale et Fonctionnelle, Institut de Biologie et Chimie des Protinverted question markeines, UPR 412 du Centre National de la Recherche Scientifique, Lyon, France."
,,462: Proc Natl Acad Sci U S A  2000 Jun 6;97(12):6306-10 ,"Crystal structure of RPB5, a universal eukaryotic RNA polymerase subunit and transcription factor interaction target.","Todone F, Weinzierl RO, Brick P, Onesti S.","Blackett Laboratory and Department of Biochemistry, Imperial College, Exhibition Road, London SW7 2AZ, United Kingdom."
,,463: Biochim Biophys Acta  2000 May 31;1458(2-3):443-56 ,"Organisation of the yeast ATP synthase F(0):a study based on cysteine mutants, thiol modification and cross-linking reagents.","Velours J, Paumard P, Soubannier V, Spannagel C, Vaillier J, Arselin G, Graves PV.","Institut de Biochimie et Genetique Cellulaires du CNRS, 1 rue Camille Saint Saens, 33077, cedex, Bordeaux, France. john.velours@ibgc.u-bordeaux2.fr"
PMID: 10838057 [PubMed - indexed for MEDLINE],,,464: Biochim Biophys Acta  2000 May 31;1458(2-3):428-42 ,Insights into ATP synthase assembly and function through the molecular genetic manipulation of subunits of the yeast mitochondrial enzyme complex.,"Devenish RJ, Prescott M, Roucou X, Nagley P."
"Publication Types: Review Review, Tutorial",PMID: 10838056 [PubMed - indexed for MEDLINE],,,465: Curr Biol  2000 Jun 1;10(11):675-8 ,"Complex formation between Mad1p, Bub1p and Bub3p is crucial for spindle checkpoint function."
"The spindle checkpoint delays the metaphase to anaphase transition in response to defects in kinetochore-microtubule interactions in the mitotic apparatus (see [1] [2] [3] [4] for reviews). The Mad and Bub proteins were identified as key components of the spindle checkpoint through budding yeast genetics [5] [6] and are highly conserved [3]. Most of the spindle checkpoint proteins have been localised to kinetochores, yet almost nothing is known about the molecular events which take place there. Mad1p forms a tight complex with Mad2p [7], and has been shown to recruit Mad2p to kinetochores [8]. Similarly, Bub3p binds to Bub1p [9] and may target it to kinetochores [10]. Here, we show that budding yeast Mad1p has a regulated association with Bub1p and Bub3p during a normal cell cycle and that this complex is found at significantly higher levels once the spindle checkpoint is activated. We find that formation of this complex requires Mad2p and Mps1p but not Mad3p or Bub2p. In addition, we identify a conserved motif within Mad1p that is essential for Mad1p-Bub1p-Bub3p complex formation. Mutation of this motif abolishes checkpoint function, indicating that formation of the Mad1p-Bub1p-Bub3p complex is a crucial step in the spindle checkpoint mechanism.",PMID: 10837255 [PubMed - indexed for MEDLINE],,,466: EMBO J  2000 Jun 1;19(11):2515-24 ,"Membrane hyperpolarization and salt sensitivity induced by deletion of PMP3, a highly conserved small protein of yeast plasma membrane."
"Yeast plasma membranes contain a small 55 amino acid hydrophobic polypeptide, Pmp3p, which has high sequence similarity to a novel family of plant polypeptides that are overexpressed under high salt concentration or low temperature treatment. The PMP3 gene is not essential under normal growth conditions. However, its deletion increases the plasma membrane potential and confers sensitivity to cytotoxic cations, such as Na(+) and hygromycin B. Interestingly, the disruption of PMP3 exacerbates the NaCl sensitivity phenotype of a mutant strain lacking the Pmr2p/Enap Na(+)-ATPases and the Nha1p Na(+)/H(+) antiporter, and suppresses the potassium dependency of a strain lacking the K(+) transporters, Trk1p and Trk2p. All these phenotypes could be reversed by the addition of high Ca(2+) concentration to the medium. These genetic interactions indicate that the major effect of the PMP3 deletion is a hyperpolarization of the plasma membrane potential that probably promotes a non-specific influx of monovalent cations. Expression of plant RCI2A in yeast could substitute for the loss of Pmp3p, indicating a common role for Pmp3p and the plant homologue.",PMID: 10835350 [PubMed - indexed for MEDLINE],,,467: Mol Cell Biol  2000 Jun;20(12):4199-209 ,Two regulators of Ste12p inhibit pheromone-responsive transcription by separate mechanisms.
"The yeast Saccharomyces cerevisiae transcription factor Ste12p is responsible for activating genes in response to MAP kinase cascades controlling mating and filamentous growth. Ste12p is negatively regulated by two inhibitor proteins, Dig1p (also called Rst1p) and Dig2p (also called Rst2p). The expression of a C-terminal Ste12p fragment (residues 216 to 688) [Ste12p(216-688)] from a GAL promoter causes FUS1 induction in a strain expressing wild-type STE12, suggesting that this region can cause the activation of endogenous Ste12p. Residues 262 to 594 are sufficient to cause STE12-dependent FUS1 induction when overexpressed, and this region of Ste12p was found to bind Dig1p but not Dig2p in yeast extracts. In contrast, recombinant glutathione S-transferase-Dig2p binds to the Ste12p DNA-binding domain (DBD). Expression of DIG2, but not DIG1, from a GAL promoter inhibits transcriptional activation by an Ste12p DBD-VP16 fusion. Furthermore, disruption of dig1, but not dig2, causes elevated transcriptional activation by a LexA-Ste12p(216-688) fusion. Ste12p has multiple regions within the C terminus (flanking residue 474) that can promote multimerization in vitro, and we demonstrate that these interactions can contribute to the activation of endogenous Ste12p by overproduced C-terminal fragments. These results demonstrate that Dig1p and Dig2p do not function by redundant mechanisms but rather inhibit pheromone-responsive transcription through interactions with separate regions of Ste12p.",PMID: 10825185 [PubMed - indexed for MEDLINE],,,468: J Biol Chem  2000 Aug 11;275(32):24928-34 ,"The yeast histone acetyltransferase A2 complex, but not free Gcn5p, binds stably to nucleosomal arrays."
"We have investigated the structural basis for the differential catalytic function of the yeast Gcn5p-containing histone acetyltransferase (HAT) A2 complex and free recombinant yeast Gcn5p (rGcn5p). HAT A2 is shown to be a unique complex that contains Gcn5p, Ada2p, and Ada3p, but not proteins specific to other related HAT A complexes, e.g. ADA, SAGA. Nevertheless, HAT A2 produces the same unique polyacetylation pattern of nucleosomal substrates reported previously for ADA and SAGA, demonstrating that proteins specific to the ADA and SAGA complexes do not influence the enzymatic activity of Gcn5p within the HAT A2 complex. To investigate the role of substrate interactions in the differential behavior of free and complexed Gcn5p, sucrose density gradient centrifugation was used to characterize the binding of HAT A2 and free rGcn5p to intact and trypsinized nucleosomal arrays, H3/H4 tetramer arrays, and nucleosome core particles. We find that HAT A2 forms stable complexes with all nucleosomal substrates tested. In distinct contrast, rGcn5p does not interact stably with nucleosomal arrays, despite being able to specifically monoacetylate the H3 N terminus of nucleosomal substrates. Our data suggest that the ability of the HAT A2 complex to bind stably to nucleosomal arrays is functionally related to both local and global acetylation by the complexed and free forms of Gcn5p.",PMID: 10825174 [PubMed - indexed for MEDLINE],,,469: J Biol Chem  2000 Aug 4;275(31):23500-8 ,Replication protein A physically interacts with the Bloom's syndrome protein and stimulates its helicase activity.
